method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.7938638542665389,0.0156606074700636,0.48328702235096743,0.026818509512013124
baseline,glue_mrpc,glue/mrpc,5,0.8465686274509803,0.014673166222642923,0.3507494939819854,0.0157889040792581
baseline,glue_rte,glue/rte,5,0.6353790613718411,0.05340032371725802,0.6432257829138212,0.0411244635888719
cagrad,glue_cola,glue/cola,5,0.7888782358581016,0.013276839404114076,0.5314588596624898,0.0547832894850053
cagrad,glue_mrpc,glue/mrpc,5,0.8480392156862745,0.01595962803539185,0.42273686188090515,0.07156978961020836
cagrad,glue_rte,glue/rte,5,0.6418772563176895,0.03216037177085933,0.72540983431467,0.06692389564920621
ours,glue_cola,glue/cola,5,0.7840843720038351,0.012710882775974357,0.5020366360156135,0.039398092181121024
ours,glue_mrpc,glue/mrpc,5,0.8465686274509803,0.02483122576845871,0.38044697377447256,0.061023934398214755
ours,glue_rte,glue/rte,5,0.6064981949458483,0.08983295893138361,0.6550267660021782,0.03858230123585889
