method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.6067011092793508,0.0,0.6067011092793508,0.6067011092793508,1e-08,0.001,2e-05
ours,coord_01_anchor,coord:train.lr,1,0.6013017459546026,0.0,0.6013017459546026,0.6013017459546026,1e-08,0.001,2e-05
ours,coord_03_anchor,coord:method.ours.eps,1,0.5007603999449545,0.0,0.5007603999449545,0.5007603999449545,1e-08,0.001,2e-05
