method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,1,0.6295836310763816,0.0,0.6295836310763816,0.0,0.6295836310763816,0.0
baseline,1,0.6226522526567706,0.0,0.6226522526567706,0.0,0.6226522526567706,0.0
