method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coarse_default,coarse,1,0.6221548501163361,0.0,0.6221548501163361,0.6221548501163361,1e-08,0.001,2e-05
ours,coarse_000,coarse,1,0.6055361220882122,0.0,0.6055361220882122,0.6055361220882122,6.487666709287877e-07,3.1270947858164215e-05,2.166929842602531e-05
