method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8049856184084373,0.00819400215502262,0.46038603665207634,0.020938381366519543
baseline,glue_mrpc,glue/mrpc,5,0.8686274509803923,0.00799485609328436,0.38690824942097213,0.02566823989460614
baseline,glue_rte,glue/rte,5,0.6707581227436823,0.06619013219561498,0.6266899050814765,0.09020937386249324
cagrad,glue_cola,glue/cola,5,0.798274209012464,0.02279057530147807,0.5093563478127237,0.07175752506670595
cagrad,glue_mrpc,glue/mrpc,5,0.8519607843137255,0.01607962692829089,0.44418001253815265,0.08090181290775818
cagrad,glue_rte,glue/rte,5,0.6844765342960288,0.07831855186489059,0.6766943755692669,0.11548730040293839
ours,glue_cola,glue/cola,5,0.8103547459252157,0.006284168593738791,0.4688467652494273,0.025640754824687764
ours,glue_mrpc,glue/mrpc,5,0.8671568627450981,0.02052979567781558,0.387008000745018,0.059180641230542015
ours,glue_rte,glue/rte,5,0.6830324909747293,0.06068419173848575,0.6502934501405273,0.06803595035227056
