method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.005252942289383562
baseline,e0,e2,0.0012888281379129778
baseline,e0,e3,0.008321768759743468
baseline,e1,e0,0.005252942289383562
baseline,e1,e1,1.0
baseline,e1,e2,0.024624034162142358
baseline,e1,e3,0.03970838863434979
baseline,e2,e0,0.0012888281379129778
baseline,e2,e1,0.024624034162142358
baseline,e2,e2,1.0
baseline,e2,e3,0.05298786953039118
baseline,e3,e0,0.008321768759743468
baseline,e3,e1,0.03970838863434979
baseline,e3,e2,0.05298786953039118
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.031734489672737114
cagrad,e0,e2,0.0055330923469247865
cagrad,e0,e3,0.029891152526881022
cagrad,e1,e0,0.031734489672737114
cagrad,e1,e1,1.0
cagrad,e1,e2,0.0060352276962623115
cagrad,e1,e3,0.04494580523433548
cagrad,e2,e0,0.0055330923469247865
cagrad,e2,e1,0.0060352276962623115
cagrad,e2,e2,1.0
cagrad,e2,e3,4.834774014791012e-05
cagrad,e3,e0,0.029891152526881022
cagrad,e3,e1,0.04494580523433548
cagrad,e3,e2,4.834774014791012e-05
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.016046720114498786
ours,e0,e2,0.068835803606845
ours,e0,e3,0.05072988136037078
ours,e1,e0,0.016046720114498786
ours,e1,e1,1.0
ours,e1,e2,0.013269549146862198
ours,e1,e3,0.03712611733286873
ours,e2,e0,0.068835803606845
ours,e2,e1,0.013269549146862198
ours,e2,e2,1.0
ours,e2,e3,0.0495501279177833
ours,e3,e0,0.05072988136037078
ours,e3,e1,0.03712611733286873
ours,e3,e2,0.0495501279177833
ours,e3,e3,1.0
