method,expert,score_var,score_mean,score_std
baseline,e0,0.00014256167493182699,0.031699580478016284,0.011939919385482759
baseline,e1,0.12098643173894283,0.40941850282251835,0.34783103906773877
baseline,e2,0.12411060838067592,0.31830799356102946,0.35229335557270436
baseline,e3,0.04102610054385729,0.33707770220935346,0.20254900775826398
cagrad,e0,0.06385837969779581,0.24241148413275368,0.2527021561004097
cagrad,e1,0.09125519836888002,0.4237416096031666,0.30208475361871545
cagrad,e2,0.020594113128970214,0.12639741165330634,0.14350649159174025
cagrad,e3,0.11880353179244856,0.3132648102939129,0.3446788821387939
ours,e0,0.10458465391671612,0.2283603690797463,0.3233955069519614
ours,e1,0.10008688676421751,0.2801713457796723,0.3163651162252525
ours,e2,0.08582331788582893,0.23746306062676012,0.2929561705884157
ours,e3,0.07646074447879124,0.35345372930169106,0.2765153602944893
