method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,5,0.7918350615834087,0.02368657722677919,0.7868480332150144,0.018680254835874002,0.7893415473992115,0.021042939116865198
cagrad,5,0.788467190395812,0.02988340182467147,0.7782371758740727,0.023519972920522225,0.7833521831349424,0.02576145320104364
baseline,5,0.7842037882032694,0.01574823187918411,0.7814570640441706,0.018325273188046606,0.78283042612372,0.016870972242516175
