method,expert,purity_mean,purity_std
baseline,e0,0.9449052810668945,0.11018943786621094
baseline,e1,0.6332203149795532,0.22910594576357954
baseline,e2,0.4219537377357483,0.25344444547375267
baseline,e3,0.5706431329250335,0.10249704185214042
cagrad,e0,0.5325299382209778,0.2862643759054435
cagrad,e1,0.5510587513446807,0.08614578077916156
cagrad,e2,0.6560557246208191,0.3518743390047756
cagrad,e3,0.5270631730556488,0.32941039184990906
ours,e0,0.5149259805679322,0.33801432633686856
ours,e1,0.5762377917766571,0.34941695259073513
ours,e2,0.5401149451732635,0.3358633490199074
ours,e3,0.666087520122528,0.16483529959439416
