method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.3066292990481964,0.013310235925018787,0.8731533288955688,0.028496254235506058,0.08504018187522888
baseline,3,1000.0,0.4436331241633053,0.004483651835471392,0.713071882724762,0.03177674859762192,0.25066787004470825
baseline,5,1000.0,0.4821878960011182,0.02350902557373047,0.31260034441947937,0.01938866265118122,0.6445017457008362
baseline,7,1000.0,0.3538577456061763,0.009690879844129086,0.05745505541563034,0.879043698310852,0.053810786455869675
baseline,11,1000.0,0.6206956183606828,0.0014014552580192685,0.010424835607409477,0.5644298195838928,0.4237438142299652
cagrad,2,1000.0,0.6672858234701885,0.0,0.5975943803787231,0.4024055600166321,0.0
cagrad,3,1000.0,0.43247134962843525,0.2487003356218338,0.046090155839920044,0.05479967221617699,0.650410532951355
cagrad,5,1000.0,0.5548252384695742,0.06153726577758789,0.18869026005268097,0.0002250174293294549,0.7495474815368652
cagrad,7,1000.0,0.5964299417618248,0.703424870967865,0.24757787585258484,0.0318077877163887,0.017189331352710724
cagrad,11,1000.0,0.3391136368909092,0.06549366563558578,0.8819018602371216,0.042734578251838684,0.009869570843875408
ours,2,1000.0,0.33559424457726655,0.8630074262619019,0.003081807866692543,0.05371420830488205,0.0801960751414299
ours,3,1000.0,0.4882545824059182,0.001645151525735855,0.7080594301223755,0.21099026501178741,0.07930521667003632
ours,5,1000.0,0.39773500326124056,0.05149827525019646,0.004363152198493481,0.7838507890701294,0.16028764843940735
ours,7,1000.0,0.6010423698635013,0.0034168364945799112,0.5060392618179321,0.005689299199730158,0.4848547577857971
ours,11,1000.0,0.42662448649881063,0.15380257368087769,0.003574781585484743,0.04914137348532677,0.793481171131134
