action,source,destination,manifest_key,score,acc_adv,ent_adv,removed_final
move_selected_root,runs/paper_suite_smoke_min_v2/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2,paperoutput/runs/paper_suite_smoke_min_v2/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2,165c1178773e,1.0,0.0,-0.09854816397031163,
move_selected_root,runs/paper_suite_smoke_min_v2/multi_gpu/minimal_ablation_compute/single_mrpc_deberta_lora_e4_k2,paperoutput/runs/paper_suite_smoke_min_v2/multi_gpu/minimal_ablation_compute/single_mrpc_deberta_lora_e4_k2,f23598cf860a,1.0,0.5367647058823529,1.3282894737580244,
move_selected_root,runs/paper_suite_supplement_pull/1p95p193p128/appendix/more_expert/glue3_roberta_lora_e6_k3,paperoutput/runs/paper_suite_supplement_pull/1p95p193p128/appendix/more_expert/glue3_roberta_lora_e6_k3,10198955f9cb,1.0,0.011036386061220815,-0.004837661898798196,
move_selected_root,runs/paper_suite_supplement_pull/1p95p193p128/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2,paperoutput/runs/paper_suite_supplement_pull/1p95p193p128/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2,272d2d248053,1.0,0.0031917387409013953,0.0112994515716478,
move_selected_root,runs/paper_suite_supplement_pull/1p95p193p128/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2,paperoutput/runs/paper_suite_supplement_pull/1p95p193p128/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2,d7322a6d5326,1.0,0.014374782694799748,-0.013886224719937168,
move_selected_root,runs_server/paper_suite/single_gpu/multi_task/glue3_roberta_ffn_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/multi_task/glue3_roberta_ffn_e4_k2,35c3c9392f6e,1.0,0.00032835467593056444,0.022950548354398248,
move_selected_root,runs_server/paper_suite/single_gpu/multi_task/glue3_roberta_lora_e4_k2_ok,paperoutput/runs_server/paper_suite/single_gpu/multi_task/glue3_roberta_lora_e4_k2_ok,acc9dfb160a8,1.0,0.001631347141462014,-0.0024780194378561937,
move_selected_root,runs_server/paper_suite/single_gpu/rerun/roberta_rte_ffn_e4_k2_ours_lr_centered,paperoutput/runs_server/paper_suite/single_gpu/rerun/roberta_rte_ffn_e4_k2_ours_lr_centered,d79fdcb321a2,1.0,0.7494584837545126,0.24123924742536854,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/deberta_mrpc_ffn_e4_k2_good,paperoutput/runs_server/paper_suite/single_gpu/single_task/deberta_mrpc_ffn_e4_k2_good,fdd6e3e58f54,1.0,0.032352941176470584,-0.033619455978566526,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/deberta_mrpc_lora_e4_k2_good,paperoutput/runs_server/paper_suite/single_gpu/single_task/deberta_mrpc_lora_e4_k2_good,548547c8dbd1,1.0,0.009803921568627305,0.009868189575625352,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/deberta_rte_ffn_e4_k2_just_ok,paperoutput/runs_server/paper_suite/single_gpu/single_task/deberta_rte_ffn_e4_k2_just_ok,42655147ab6d,1.0,-0.0014440433212996595,0.04413826994947573,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/deberta_rte_lora_e4_k2_just_ok,paperoutput/runs_server/paper_suite/single_gpu/single_task/deberta_rte_lora_e4_k2_just_ok,cdce617f9df8,1.0,-0.0018050541516245189,-0.07410472317292804,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_cola_lora_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_cola_lora_e4_k2,ccf8fdb76ba5,1.0,-0.0024928092042185712,-0.012544059741988467,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_mrpc_ffn_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_mrpc_ffn_e4_k2,5799dd24fba1,1.0,0.008578431372549156,-0.12105028044943716,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_mrpc_lora_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_mrpc_lora_e4_k2,6a6003269e6a,1.0,-0.004411764705882226,-0.01642436922765239,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_rte_ffn_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_rte_ffn_e4_k2,cde1b0288afa,1.0,-0.05667870036101075,0.06650060144142123,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2,ad59bb4f23d0,1.0,0.02924187725631766,0.011687100407018647,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_sst2_ffn_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_sst2_ffn_e4_k2,a000713305d4,1.0,0.003325688073394506,0.013102682262932569,
move_selected_root,runs_server/paper_suite/single_gpu/single_task/roberta_sst2_lora_e4_k2,paperoutput/runs_server/paper_suite/single_gpu/single_task/roberta_sst2_lora_e4_k2,0f609d336be9,1.0,0.008256880733944927,-0.003469271506738203,
move_selected_root,runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2,paperoutput/runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2,953ded641e30,1.0,-0.0026493161733798787,-0.12259623430393363,
move_selected_root,runs_server/server2/single_gpu/multi_task/glue3_gpt2_lora_e4_k2,paperoutput/runs_server/server2/single_gpu/multi_task/glue3_gpt2_lora_e4_k2,942ebe061e27,1.0,0.0019930816154953845,-0.022652887393609544,
move_selected_root,runs_server/server2/single_gpu/multi_task/glue4_deberta_lora_e4_k2,paperoutput/runs_server/server2/single_gpu/multi_task/glue4_deberta_lora_e4_k2,7b12d63cfc64,1.0,0.0005062494876074131,-0.031806740219776364,
move_selected_root,runs_server/server2/single_gpu/multi_task/glue4_gpt2_lora_e4_k2,paperoutput/runs_server/server2/single_gpu/multi_task/glue4_gpt2_lora_e4_k2,d0857ab5a07f,1.0,-0.0016190912746638086,-0.20463217649341991,
move_selected_root,runs_server/server2/single_gpu/multi_task/glue4_roberta_lora_e4_k2,paperoutput/runs_server/server2/single_gpu/multi_task/glue4_roberta_lora_e4_k2,483796f3b8b4,1.0,-0.00024652794126700517,-0.03894754804097694,
move_selected_root,runs_server/server2/single_gpu/single_task/deberta_rte_lora_e4_k2_supplement,paperoutput/runs_server/server2/single_gpu/single_task/deberta_rte_lora_e4_k2_supplement,6c3d77350543,1.0,-0.0003610108303249704,-0.0050178501149807375,
move_selected_root,runs_server/server2/single_gpu/single_task/deberta_sst2_ffn_e4_k2_supplement,paperoutput/runs_server/server2/single_gpu/single_task/deberta_sst2_ffn_e4_k2_supplement,79cab6ff41e0,1.0,-0.0013761467889908952,0.10743636950303656,
move_selected_root,runs_server/server2/single_gpu/single_task/deberta_sst2_lora_e4_k2_supplement,paperoutput/runs_server/server2/single_gpu/single_task/deberta_sst2_lora_e4_k2_supplement,372464cb0ab9,1.0,0.005848623853211166,-0.040285511027782384,
move_selected_root,runs_server/server2/single_gpu/single_task/roberta_mrpc_lora_e4_k2_supplement,paperoutput/runs_server/server2/single_gpu/single_task/roberta_mrpc_lora_e4_k2_supplement,f4275c255002,1.0,-0.011274509803921529,-0.0006327880363837801,
move_selected_root,runs_server/server2/single_gpu/single_task/roberta_rte_ffn_e4_k2_supplement,paperoutput/runs_server/server2/single_gpu/single_task/roberta_rte_ffn_e4_k2_supplement,67158c4c3e42,1.0,0.011913357400722024,-0.026805729362508468,
remove_duplicate_final,runs/paper_suite_supplement_pull/1p95p193p128/single_task_add_rerun/rerun/roberta_rte_ffn_e4_k2_ours_lr_centered,,d79fdcb321a2,1.0,0.7494584837545126,0.24123924742536854,runs/paper_suite_supplement_pull/1p95p193p128/single_task_add_rerun/rerun/roberta_rte_ffn_e4_k2_ours_lr_centered/final
remove_duplicate_final,runs/paper_suite_supplement_pull/1p95p193p128/single_task_add_rerun/single_task/roberta_cola_lora_e4_k2,,ccf8fdb76ba5,1.0,-0.0024928092042185712,-0.012544059741988467,runs/paper_suite_supplement_pull/1p95p193p128/single_task_add_rerun/single_task/roberta_cola_lora_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2_a_little_bad_at_acc,,953ded641e30,1.0,-0.0026493161733798787,-0.12259623430393363,runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2_a_little_bad_at_acc/final
remove_duplicate_final,runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2_just_ok,,953ded641e30,1.0,-0.0026493161733798787,-0.12259623430393363,runs_server/server2/single_gpu/multi_task/glue3_deberta_lora_e4_k2_just_ok/final
remove_duplicate_final,runs_server/server2/single_gpu/multi_task/glue3_roberta_ffn_e4_k2,,35c3c9392f6e,1.0,0.00032835467593056444,0.022950548354398248,runs_server/server2/single_gpu/multi_task/glue3_roberta_ffn_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/multi_task/glue3_roberta_lora_e4_k2,,acc9dfb160a8,1.0,0.001631347141462014,-0.0024780194378561937,runs_server/server2/single_gpu/multi_task/glue3_roberta_lora_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/single_task/deberta_mrpc_ffn_e4_k2,,fdd6e3e58f54,1.0,0.032352941176470584,-0.033619455978566526,runs_server/server2/single_gpu/single_task/deberta_mrpc_ffn_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/single_task/deberta_mrpc_lora_e4_k2,,548547c8dbd1,1.0,0.009803921568627305,0.009868189575625352,runs_server/server2/single_gpu/single_task/deberta_mrpc_lora_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/single_task/deberta_rte_ffn_e4_k2,,42655147ab6d,1.0,-0.0014440433212996595,0.04413826994947573,runs_server/server2/single_gpu/single_task/deberta_rte_ffn_e4_k2/final
remove_duplicate_final,runs_server/server2/single_gpu/single_task/deberta_rte_lora_e4_k2,,cdce617f9df8,1.0,-0.0018050541516245189,-0.07410472317292804,runs_server/server2/single_gpu/single_task/deberta_rte_lora_e4_k2/final
