method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_03_train_grad_clip_027,0.720216606498195,0.0018050541516245744,1.2020926389522912,2.5551784142791192e-05,0.011082261465681276,,,,
cagrad,cagrad,baseline_cagrad,coord_03_train_grad_clip_004,0.7003610108303249,0.0036101083032490933,1.23610214958761,2.5230558699923877e-05,0.00034654617512255295,0.4,0.1,,
ours,ours,ours,local_var_topk_031,0.7364620938628159,0.01083032490974728,0.56901752383,1.9805331e-05,0.012627914023,,,0.011663013105,true
