method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_01_train_lr_026,0.6913357400722022,0.01985559566787004,1.0,1.3021229722294179e-05,0.01,,,,
cagrad,cagrad,baseline_cagrad,coord_04_method_baseline_cagrad_c_012,0.7111913357400722,0.0,0.7780371314321872,2.5230558699923877e-05,0.03456878451370884,0.9009367382504575,0.1,,
ours,ours,ours,local_var_topk_005,0.6985559566787003,0.009025270758122705,0.5039649001674528,1.6782406e-05,0.048026134869,,,0.00037390852,true
