method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.eps,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_t1_017,0.6634495684414019,0.01186777378554943,1.084341501893,3.0940969e-05,0.035574910713,,,,,
cagrad,cagrad,baseline_cagrad,local_t1_017,0.6711513884582092,0.008259130302311901,,3.5566184e-05,,0.709762971375,0.5,,,
ours,ours,ours,local_t1_023,0.6586504250138502,0.01474409209810934,,4e-05,,,,3.333e-09,0.002,true
