method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.eps,method.ours.lambda_align
baseline,local_t1_017,local,2,0.6634495684414019,0.01186777378554943,0.6634495684414019,0.6634495684414019,1.084341501893,3.0940969e-05,0.035574910713,,,,
baseline,local_t2_046,local,2,0.6593518645394177,0.012586477261253948,0.6593518645394177,0.6593518645394177,1.760949919099,3.4604319e-05,0.029038373487,,,,
baseline,coarse_050,coarse,2,0.6524014279065473,0.000894627510749646,0.6524014279065473,0.6524014279065473,0.7843415018931796,3.0940968924399744e-05,0.02557491071272644,,,,
baseline,local_t2_044,local,2,0.6521584289713753,0.0030305443477030014,0.6521584289713753,0.6521584289713753,2.0,1.730216e-05,0.049038373487,,,,
baseline,local_t3_065,local,2,0.6501620744163406,0.006166412930431131,0.6501620744163406,0.6501620744163406,2.0,3.5913223e-05,0.029919260865,,,,
baseline,local_t2_047,local,2,0.649554687364087,0.015755448513974646,0.649554687364087,0.649554687364087,2.0,3.4604319e-05,0.029038373487,,,,
baseline,local_t1_013,local,2,0.6489443706718103,0.006975197181175008,0.6489443706718103,0.6489443706718103,0.784341501893,3.0940969e-05,0.025574910713,,,,
baseline,local_t3_061,local,2,0.6485651618565031,0.010189678242500111,0.6485651618565031,0.6485651618565031,1.907842524324,1.7956611e-05,0.049919260865,,,,
baseline,local_t2_052,local,2,0.6478813157241834,0.0003657200287136009,0.6478813157241834,0.6478813157241834,1.760949919099,3.4604319e-05,0.049038373487,,,,
baseline,local_t3_056,local,2,0.6478483459625703,0.0060066174686222995,0.6478483459625703,0.6478483459625703,2.0,1.7956611e-05,0.029919260865,,,,
baseline,local_t3_068,local,2,0.6477661845474587,0.00738147688831875,0.6477661845474587,0.6477661845474587,2.0,3.5913223e-05,0.039919260865,,,,
baseline,local_t2_040,local,2,0.647669069525742,0.013945670459204473,0.647669069525742,0.647669069525742,1.760949919099,1.730216e-05,0.039038373487,,,,
baseline,local_t1_000,local,2,0.6474886845764722,0.006806083993616541,0.6489351194002504,0.6460422497526942,0.5,1.5470484e-05,0.015574910713,,,,
baseline,coarse_055,coarse,2,0.647070314448557,0.002872213705905735,0.647070314448557,0.647070314448557,1.7609499190993685,1.7302159731245915e-05,0.039038373486817386,,,,
baseline,coarse_066,coarse,2,0.6468321723249101,0.010101814492343264,0.6468321723249101,0.6468321723249101,1.9078425243244401,3.5913222970670444e-05,0.03991926086498026,,,,
baseline,local_t1_014,local,2,0.6466701598382187,0.0031636916794354764,0.6466701598382187,0.6466701598382187,1.084341501893,3.0940969e-05,0.025574910713,,,,
baseline,local_t3_071,local,2,0.6465103643764099,0.0018673118299565306,0.6465103643764099,0.6465103643764099,2.0,3.5913223e-05,0.049919260865,,,,
