method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1072.3094946573954,117.1670224360247,0.48957932420469585,0.040608488172708554,3363.041015625,0.0
ours,912.5845590891898,13.825405346758172,0.5065696592246415,0.012466588859493954,2408.568359375,0.0
