method,expert,score_var,score_mean,score_std
baseline,e0,0.03516405533454561,0.34908330999314785,0.18752081307029791
baseline,e1,0.032510579815026225,0.334407177567482,0.18030690451290607
baseline,e2,0.02161691977202,0.2994146624580026,0.14702693553230306
baseline,e3,0.04079884707781445,0.3123289506882429,0.20198724483940675
cagrad,e0,0.03769719575216416,0.40588415688835083,0.19415765694961443
cagrad,e1,0.027830057282903907,0.3593182638287544,0.1668234314564471
cagrad,e2,0.007106169954729649,0.18709031715989113,0.0842981017267272
cagrad,e3,0.0192294294488425,0.33111833930015566,0.1386702183197333
ours,e0,0.006830462959809368,0.552389508485794,0.08264661493255104
ours,e1,0.022153179411110637,0.3000750778708607,0.14883944171862054
ours,e2,0.0034082085263205963,0.1031813027075259,0.05837986404849361
ours,e3,0.00476238332125639,0.3892319291830063,0.0690100233390512
