method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
cagrad,1,0.6182447647728683,0.0,0.6182447647728683,0.0,0.6182447647728683,0.0
baseline,1,0.5884396054030525,0.0,0.5884396054030525,0.0,0.5884396054030525,0.0
ours,1,0.42507230724851985,0.0,0.42507230724851985,0.0,0.42507230724851985,0.0
