method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.3235966832198821,0.040333088487386703,0.40704962611198425,0.5183555483818054,0.034261684864759445
baseline,3,1000.0,0.36736718670125473,0.02670721709728241,0.11047085374593735,0.8603538870811462,0.002468047896400094
baseline,5,1000.0,0.2855184706539884,0.015977397561073303,0.4417508542537689,0.5096695423126221,0.03260217607021332
baseline,7,1000.0,0.24220137475630008,0.320555180311203,0.6417818665504456,0.007343908306211233,0.030319027602672577
baseline,11,1000.0,0.27576824430954583,0.5985670685768127,0.35421791672706604,0.016633471474051476,0.030581478029489517
cagrad,2,1000.0,0.3149468429682487,0.4772227108478546,0.005398840643465519,0.5041349530220032,0.01324347872287035
cagrad,3,1000.0,0.3252662146995214,0.10496258735656738,0.029114799574017525,0.004209436010569334,0.8617132306098938
cagrad,5,1000.0,0.2775956091037296,0.02050667069852352,0.43637096881866455,0.49809810519218445,0.04502423480153084
cagrad,7,1000.0,0.3646498328942254,0.07937995344400406,0.49479037523269653,0.4146953225135803,0.011134415864944458
cagrad,11,1000.0,0.17850178351040782,0.6144351363182068,0.3617057800292969,0.01019690465182066,0.013662287965416908
ours,2,1000.0,0.38524888138478414,0.014778307639062405,0.13622958958148956,0.0032137015368789434,0.8457784056663513
ours,3,1000.0,0.18872274130260042,0.5847142338752747,0.019754936918616295,0.00640576146543026,0.38912513852119446
ours,5,1000.0,0.4550119987033334,0.2872665822505951,0.0005381808150559664,0.03160252422094345,0.6805926561355591
ours,7,1000.0,0.2299848420525286,0.012145351618528366,0.3783862590789795,0.030324148014187813,0.579144299030304
ours,11,1000.0,0.4394290077126844,0.20234443247318268,0.7813341021537781,0.005647067446261644,0.010674439370632172
