method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,local_t1_023,local,2,0.6586504250138502,0.01474409209810934,0.6586504250138502,0.6586504250138502,3.333e-09,0.002,4e-05
ours,local_t1_022,local,2,0.6542586033516937,0.01386399543220479,0.6542586033516937,0.6542586033516937,3e-08,0.001,4e-05
ours,local_t1_021,local,2,0.6533509494058407,0.010692227447840374,0.6533509494058407,0.6533509494058407,1e-08,0.001,4e-05
ours,local_t1_024,local,2,0.6511234869738364,0.008145174092218266,0.6511234869738364,0.6511234869738364,1e-08,0.002,4e-05
ours,coarse_043,coarse,2,0.6493477207389308,0.00580522027013175,0.6493477207389308,0.6493477207389308,1.7442898927347096e-07,0.005242072126686799,2.6994486110824e-05
ours,local_t2_039,local,2,0.6490911001087858,0.005859135826775996,0.6490911001087858,0.6490911001087858,1.74429e-07,0.005242072127,2.6994486e-05
ours,local_t3_070,local,2,0.6473853780037605,0.004561094622554052,0.6473853780037605,0.6473853780037605,3.0973e-08,0.002453361614,2.2790475e-05
ours,local_t2_033,local,2,0.6472677399487727,0.0005240506705109227,0.6472677399487727,0.6472677399487727,1.74429e-07,0.010484144253,1.3497243e-05
ours,local_t3_067,local,2,0.6470493686535259,0.010474278914353652,0.6470493686535259,0.6470493686535259,3.0973e-08,0.001226680807,2.2790475e-05
ours,local_t1_014,local,2,0.6469717346068287,0.01060143405766023,0.6469717346068287,0.6469717346068287,3.333e-09,0.002,2e-05
ours,local_t3_063,local,2,0.6463031665755086,0.0030648806619619218,0.6470235660469698,0.6455827671040473,1.0324e-08,0.000613340403,2.2790475e-05
ours,coarse_054,coarse,2,0.646190350691032,0.004393709243928179,0.646190350691032,0.646190350691032,1.0324245597440696e-08,0.0012266808069923947,2.2790474576458146e-05
ours,local_t3_068,local,2,0.6460140038942268,0.0127519750581081,0.6460140038942268,0.6460140038942268,3.441e-09,0.002453361614,2.2790475e-05
ours,coarse_default,coarse,2,0.6456226261856475,0.014004587754063935,0.6500885449762974,0.6411567073949973,1e-08,0.001,2e-05
ours,local_t1_016,local,2,0.6454813212486474,0.003618740278317545,0.6454813212486474,0.6454813212486474,3e-08,0.002,2e-05
ours,local_t3_066,local,2,0.6451471994801845,0.008705679834504931,0.6451471994801845,0.6451471994801845,1.0324e-08,0.001226680807,2.2790475e-05
ours,local_t2_038,local,2,0.6443173365260302,0.006705550115926662,0.6443173365260302,0.6443173365260302,5.8143e-08,0.005242072127,2.6994486e-05
ours,coarse_078,coarse,2,0.6441302736376535,0.00046769186195544377,0.6441302736376535,0.6441302736376535,1.011116421060844e-07,0.0003137282196660568,2.461317832046081e-05
ours,coarse_000,coarse,2,0.6439006305806956,0.002731186603975533,0.6439006305806956,0.6439006305806956,6.487666709287877e-07,3.1270947858164215e-05,2.166929842602531e-05
ours,local_t3_069,local,2,0.6438852542123303,0.0005799867173061912,0.6438852542123303,0.6438852542123303,1.0324e-08,0.002453361614,2.2790475e-05
ours,local_t2_037,local,2,0.6438731517732478,0.0011701882919232798,0.644485896871287,0.6432604066752086,5.23287e-07,0.002621036063,2.6994486e-05
ours,local_t2_040,local,2,0.6437506420605861,0.0024739466773391894,0.6437506420605861,0.6437506420605861,5.23287e-07,0.005242072127,2.6994486e-05
ours,coarse_040,coarse,2,0.6434865644220036,0.006050239695454984,0.6434865644220036,0.6434865644220036,4.417198210762387e-08,0.0003416212959052403,9.667612403409494e-06
ours,local_t1_013,local,2,0.6433960608852042,0.0024802683088758215,0.6433960608852042,0.6433960608852042,3e-08,0.001,2e-05
ours,local_t3_076,local,2,0.6426962190880277,0.0042035838071488585,0.6426962190880277,0.6426962190880277,3.0973e-08,0.001226680807,4.5580949e-05
ours,local_t1_007,local,2,0.6425540170194666,0.003461161841391225,0.6425540170194666,0.6425540170194666,1e-08,0.002,1e-05
ours,local_t2_052,local,2,0.6424876547344804,0.0030084235860409203,0.6424876547344804,0.6424876547344804,5.23287e-07,0.010484144253,5.3988972e-05
ours,coarse_019,coarse,2,0.6421346712874895,0.004134158973760016,0.6421346712874895,0.6421346712874895,3.0468154620358934e-09,1.2318239428924938e-05,1.6059149752391216e-05
ours,local_t2_043,local,2,0.6420678862407432,0.0058123874251886365,0.6420678862407432,0.6420678862407432,5.23287e-07,0.010484144253,2.6994486e-05
ours,coarse_038,coarse,2,0.6419350485572564,0.004260871560441415,0.6420205821690164,0.6418495149454964,4.065159744309819e-07,0.0045981033638958614,1.4982405628778375e-05
ours,local_t3_074,local,2,0.641528459201867,0.008408209672549294,0.641528459201867,0.641528459201867,3.441e-09,0.001226680807,4.5580949e-05
ours,local_t3_064,local,2,0.6406944916410584,0.010611953614500513,0.6406944916410584,0.6406944916410584,3.0973e-08,0.000613340403,2.2790475e-05
ours,local_t1_010,local,2,0.6404913001794456,0.004546337550680235,0.6414635617368925,0.6395190386219987,1e-08,0.0005,2e-05
ours,coarse_055,coarse,2,0.6403767882992123,0.008162015280595125,0.6403767882992123,0.6403767882992123,1.1225762595967502e-07,0.022544811592448987,2.663464799936706e-05
ours,coarse_074,coarse,2,0.6400475233422744,0.00942249572843784,0.6400475233422744,0.6400475233422744,1.644914080013094e-08,0.0008647731131388502,9.718400173519814e-06
ours,local_t2_036,local,2,0.6399559777472235,0.002457302023693486,0.6399559777472235,0.6399559777472235,1.74429e-07,0.002621036063,2.6994486e-05
ours,local_t2_050,local,2,0.6398989996421767,0.009748831045352346,0.6398989996421767,0.6398989996421767,5.8143e-08,0.010484144253,5.3988972e-05
ours,local_t3_055,local,2,0.639164167593236,0.006860911527970637,0.639164167593236,0.639164167593236,3.0973e-08,0.000613340403,1.1395237e-05
ours,local_t1_019,local,2,0.638595875399401,0.005177732946367475,0.638595875399401,0.638595875399401,3e-08,0.0005,4e-05
ours,local_t2_042,local,2,0.6384006351108918,0.0066873692393634165,0.6411695768850995,0.6356316933366842,1.74429e-07,0.010484144253,2.6994486e-05
ours,local_t2_048,local,2,0.6383914156525079,0.010759012494586717,0.6383914156525079,0.6383914156525079,1.74429e-07,0.005242072127,5.3988972e-05
ours,local_t2_049,local,2,0.6380050396821437,0.008925515949763374,0.6380050396821437,0.6380050396821437,5.23287e-07,0.005242072127,5.3988972e-05
ours,coarse_034,coarse,2,0.6379798563720789,0.00369226971836073,0.6379798563720789,0.6379798563720789,5.485143974769073e-07,0.00013015917808618732,2.4330272219923085e-05
ours,local_t3_060,local,2,0.6378560932202859,0.006525098712467314,0.6378560932202859,0.6378560932202859,1.0324e-08,0.002453361614,1.1395237e-05
ours,local_t1_009,local,2,0.6376789157461094,0.002870114743253882,0.639561392563551,0.6357964389286674,3.333e-09,0.0005,2e-05
ours,local_t1_011,local,2,0.6376227683184339,0.00867596915602592,0.6386993120526545,0.6365462245842134,3e-08,0.0005,2e-05
ours,local_t1_012,local,2,0.637375386941538,0.0006626225022188792,0.6386843584460493,0.6360664154370266,3.333e-09,0.001,2e-05
ours,local_t1_015,local,2,0.6372149057290479,0.0002981043045958698,0.6372706303949632,0.6371591810631326,1e-08,0.002,2e-05
ours,local_t3_062,local,2,0.6371400097363589,0.006046021975286364,0.6382799663206773,0.6360000531520404,3.441e-09,0.000613340403,2.2790475e-05
ours,local_t1_006,local,2,0.6370282507562826,0.010013331445694995,0.6370282507562826,0.6370282507562826,3.333e-09,0.002,1e-05
ours,local_t2_026,local,2,0.6368125192476783,0.009886928507259307,0.6368125192476783,0.6368125192476783,5.8143e-08,0.002621036063,1.3497243e-05
ours,local_t2_046,local,2,0.6366306030242075,0.012453040076140787,0.6366306030242075,0.6366306030242075,5.23287e-07,0.002621036063,5.3988972e-05
ours,local_t2_031,local,2,0.6362554988155544,0.00880996201127865,0.6362554988155544,0.6362554988155544,5.23287e-07,0.005242072127,1.3497243e-05
ours,local_t3_075,local,2,0.6356366434668586,0.003754104634932587,0.6356366434668586,0.6356366434668586,1.0324e-08,0.001226680807,4.5580949e-05
ours,local_t3_058,local,2,0.6354868514814804,0.003227836939539208,0.6354868514814804,0.6354868514814804,3.0973e-08,0.001226680807,1.1395237e-05
ours,local_t1_018,local,2,0.6354610488749244,0.0019986648985667044,0.6354610488749244,0.6354610488749244,1e-08,0.0005,4e-05
ours,local_t2_035,local,2,0.6353279015431919,0.006512981427235998,0.6353279015431919,0.6353279015431919,5.8143e-08,0.002621036063,2.6994486e-05
ours,local_t2_032,local,2,0.6352494219729743,0.001734587259984155,0.6352494219729743,0.6352494219729743,5.8143e-08,0.010484144253,1.3497243e-05
ours,local_t3_071,local,2,0.6352231966046581,0.004939457914341139,0.6352231966046581,0.6352231966046581,3.441e-09,0.000613340403,4.5580949e-05
ours,local_t1_004,local,2,0.6352227738428979,0.007027028621316156,0.6352227738428979,0.6352227738428979,1e-08,0.001,1e-05
ours,local_t2_034,local,2,0.6350521293811381,0.006789599112809963,0.6350521293811381,0.6350521293811381,5.23287e-07,0.010484144253,1.3497243e-05
ours,coarse_028,coarse,2,0.6348989135910705,0.007848291413578068,0.6363706299922791,0.6334271971898622,6.408384906967286e-08,0.0009043482793839973,2.796822117813749e-05
ours,local_t2_029,local,2,0.6348810621576181,0.005801538425237673,0.6348810621576181,0.6348810621576181,5.8143e-08,0.005242072127,1.3497243e-05
