method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.53125,0.0,0.53125,0.53125,1e-08,0.001,2e-05
ours,coord_03_anchor,coord:method.ours.eps,1,0.4895833333333333,0.0,0.4895833333333333,0.4895833333333333,1e-08,0.001,2e-05
ours,coord_01_anchor,coord:train.lr,1,0.46875,0.0,0.46875,0.46875,1e-08,0.001,2e-05
