method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_02_train_weight_decay_004,0.7021980096523381,0.0007219625588384959,1.0,2.5551784142791192e-05,0.012627914022778375,,,,
cagrad,cagrad,baseline_cagrad,coord_04_method_baseline_cagrad_c_003,0.7062262887209334,0.002615922518871494,1.1953276801381858,2e-05,0.04164557575300149,0.4811638322148908,0.1,,
ours,ours,ours,coord_04_method_ours_lambda_align_009,0.7100202008294252,0.002805851420919492,1.2363744014086087,2e-05,0.03802613486924597,,,0.00027088063293043466,true
