method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6654674454971596,0.6032215356826782,0.0,0.35061168670654297,0.046166785061359406
baseline,3,1000.0,0.6898658437723363,0.33215978741645813,0.31973767280578613,0.0638745054602623,0.2842280864715576
baseline,5,1000.0,0.6888441513809893,0.46475619077682495,0.03751528635621071,0.0004625871661119163,0.49726602435112
baseline,7,1000.0,0.6894353703354243,0.5170102715492249,0.29096072912216187,0.0028504724614322186,0.18917833268642426
baseline,11,1000.0,0.6855192919158273,0.04380127787590027,0.06384177505970001,0.39849936962127686,0.4938574433326721
ours,2,1000.0,0.6837322122796818,0.21992619335651398,0.1655425727367401,0.3303169906139374,0.28421396017074585
ours,3,1000.0,0.6741719266261768,0.2772271931171417,0.3437107801437378,0.2139749675989151,0.16508738696575165
ours,5,1000.0,0.6581380361070236,0.10635226964950562,0.5107091069221497,0.24708136916160583,0.13585741817951202
ours,7,1000.0,0.6822456666440876,0.48601779341697693,0.07497573643922806,0.31527841091156006,0.12372806668281555
ours,11,1000.0,0.6514131376450812,0.2644177973270416,0.12248601764440536,0.11525348573923111,0.4978427588939667
