method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8026845637583893,0.01040434129721998,0.49816272419713836,0.047235639943449544
baseline,glue_mrpc,glue/mrpc,5,0.8553921568627452,0.019790812978614084,0.47679770059755766,0.08279693387114428
baseline,glue_rte,glue/rte,5,0.6779783393501806,0.07801175911743297,0.6704351669847965,0.1211922773006351
ours,glue_cola,glue/cola,5,0.80575263662512,0.011240154086099982,0.4700101771192867,0.037221518227197166
ours,glue_mrpc,glue/mrpc,5,0.8745098039215687,0.02253836065210322,0.3837843869552564,0.06660145666115982
ours,glue_rte,glue/rte,5,0.6989169675090253,0.023351569139055926,0.6427574895428759,0.09070485261009105
