method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.ours.eps,method.ours.lambda_align
baseline,coord_02_anchor,coord:train.weight_decay,1,0.6200123217944653,0.0,0.6200123217944653,0.6200123217944653,1.0,2e-05,0.01,,
baseline,coord_01_anchor,coord:train.lr,1,0.6094725261186457,0.0,0.6094725261186457,0.6094725261186457,1.0,2e-05,0.01,,
baseline,coord_03_anchor,coord:train.grad_clip,1,0.44962801263423663,0.0,0.44962801263423663,0.44962801263423663,1.0,2e-05,0.01,,
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.6169664010783972,0.0,0.6169664010783972,0.6169664010783972,,2e-05,,1e-08,0.001
ours,coord_03_anchor,coord:method.ours.eps,1,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,,2e-05,,1e-08,0.001
ours,coord_01_anchor,coord:train.lr,1,0.4942426408856535,0.0,0.4942426408856535,0.4942426408856535,,2e-05,,1e-08,0.001
