method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_017,0.7766776924911893,0.005264535929790426,1.273349250657,3.0738695e-05,0.034467098844,,,,
cagrad,cagrad,baseline_cagrad,coord_04_method_baseline_cagrad_c_009,0.7805496809727552,0.014604484830219644,0.9778028381241367,3.483800361181956e-05,0.025364782818545862,0.9288277248837246,0.1,,
ours,ours,ours,coord_03_train_grad_clip_007,0.7797394965142034,0.014992254386321902,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698,,,0.001,true
