ts_epoch,group,event,total_runs,completed_runs,failed_runs,current_index,current_state,current_label,current_out_dir,message
1774667043.165328,appendix,init,6,0,0,0,idle,,,
1774667043.168619,appendix2,init,1,0,0,0,idle,,,
1774667043.207426,appendix,running,6,0,0,1,running,appendix/rank/multi_glue3/roberta/r16/e4/k2,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2,pipeline_running
1774667043.2163475,appendix2,running,1,0,0,1,running,appendix2/multi_dataset_real/roberta/lora/e4/k2,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2,pipeline_running
1774667091.5551474,appendix2,failed,1,0,1,1,failed,appendix2/multi_dataset_real/roberta/lora/e4/k2,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2,pipeline_failed_rc=1
1774672062.9336236,appendix2,init,1,0,0,0,idle,,,
1774672062.9695375,appendix2,running,1,0,0,1,running,appendix2/multi_dataset_real/roberta/lora/e4/k2,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2,pipeline_running
1774713729.44351,appendix,done,6,1,0,1,idle,appendix/rank/multi_glue3/roberta/r16/e4/k2,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2,pipeline_done
1774713729.4972649,appendix,running,6,1,0,2,running,appendix/rank/multi_glue3/roberta/r32/e4/k2,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2,pipeline_running
1774749196.7788022,appendix2,done,1,1,0,1,idle,appendix2/multi_dataset_real/roberta/lora/e4/k2,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2,pipeline_done
1774756694.5816689,appendix,done,6,2,0,2,idle,appendix/rank/multi_glue3/roberta/r32/e4/k2,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2,pipeline_done
1774756694.640313,appendix,running,6,2,0,3,running,appendix/more_expert/glue3/roberta/lora/e6/k3,runs/paper_suite_supplement/appendix/more_expert/glue3_roberta_lora_e6_k3,pipeline_running
1774759191.7761364,appendix2,init,6,0,0,0,idle,,,
1774759191.9695017,appendix2,running,6,0,0,1,running,appendix2/multi_dataset_real/roberta/lora/e4/k2/cagrad_append,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2,pipeline_running
1774806528.7675018,appendix,done,6,3,0,3,idle,appendix/more_expert/glue3/roberta/lora/e6/k3,runs/paper_suite_supplement/appendix/more_expert/glue3_roberta_lora_e6_k3,pipeline_done
1774806528.9757636,appendix,running,6,3,0,4,running,appendix/more_expert/glue4/roberta/lora/e6/k3,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3,pipeline_running
1774918636.4704216,appendix,done,6,4,0,4,idle,appendix/more_expert/glue4/roberta/lora/e6/k3,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3,pipeline_done
1774918636.578241,appendix,running,6,4,0,5,running,appendix/ffn_generalization/glue3/roberta/ffn/e4/k2,runs/paper_suite_supplement/appendix/ffn_generalization/glue3_roberta_ffn_e4_k2,pipeline_running
