method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.9377561162079511,0.9132989296636085,0.9255275229357798,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s2.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s2_curve.csv
baseline,3,0.9378937308868501,0.9378937308868501,0.9378937308868501,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s3.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s3_curve.csv
baseline,5,0.9382415902140672,0.9382415902140672,0.9382415902140672,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s5.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s5_curve.csv
baseline,7,0.9377905198776758,0.9377905198776758,0.9377905198776758,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s7.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s7_curve.csv
baseline,11,0.9374373088685015,0.9309029051987768,0.9341701070336392,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s11.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/baseline_s11_curve.csv
ours,2,0.938618501529052,0.9314136085626911,0.9350160550458715,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s2.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s2_curve.csv
ours,3,0.937138379204893,0.9306253822629968,0.9338818807339448,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s3.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s3_curve.csv
ours,5,0.9373249235474006,0.9373249235474006,0.9373249235474006,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s5.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s5_curve.csv
ours,7,0.9396727828746178,0.9389373088685015,0.9393050458715596,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s7.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s7_curve.csv
ours,11,0.9399319571865443,0.9376330275229359,0.9387824923547401,False,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s11.json,runs/paper_suite_supplement/appendix/multi_dataset_real/roberta_lora_e4_k2/final/ours_s11_curve.csv
