method,row,col,value
baseline,local_textcls/glue_sst2,local_textcls/glue_sst2,1.0
baseline,local_textcls/glue_sst2,local_textcls/yelp_polarity,0.21826844917696614
baseline,local_textcls/glue_sst2,local_textcls/amazon_polarity,0.0416443148158155
baseline,local_textcls/yelp_polarity,local_textcls/glue_sst2,0.21826844917696614
baseline,local_textcls/yelp_polarity,local_textcls/yelp_polarity,1.0
baseline,local_textcls/yelp_polarity,local_textcls/amazon_polarity,0.30678424121794806
baseline,local_textcls/amazon_polarity,local_textcls/glue_sst2,0.0416443148158155
baseline,local_textcls/amazon_polarity,local_textcls/yelp_polarity,0.30678424121794806
baseline,local_textcls/amazon_polarity,local_textcls/amazon_polarity,1.0
ours,local_textcls/glue_sst2,local_textcls/glue_sst2,1.0
ours,local_textcls/glue_sst2,local_textcls/yelp_polarity,0.1478759474662771
ours,local_textcls/glue_sst2,local_textcls/amazon_polarity,-0.03534932976696613
ours,local_textcls/yelp_polarity,local_textcls/glue_sst2,0.1478759474662771
ours,local_textcls/yelp_polarity,local_textcls/yelp_polarity,1.0
ours,local_textcls/yelp_polarity,local_textcls/amazon_polarity,0.26416705245994637
ours,local_textcls/amazon_polarity,local_textcls/glue_sst2,-0.03534932976696613
ours,local_textcls/amazon_polarity,local_textcls/yelp_polarity,0.26416705245994637
ours,local_textcls/amazon_polarity,local_textcls/amazon_polarity,1.0
