method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6661249786964722,0.5430169701576233,0.43517276644706726,0.009092026390135288,0.01271805725991726
baseline,3,1000.0,0.690045981443713,0.5034655332565308,0.012200524099171162,0.4648430347442627,0.01949078030884266
baseline,5,1000.0,0.6759106893599625,7.629995525348932e-05,0.541849672794342,0.45238661766052246,0.005687816068530083
baseline,7,1000.0,0.6862669556231193,0.35131239891052246,0.11511677503585815,0.2857106328010559,0.2478603571653366
baseline,11,1000.0,0.6621867421513963,0.19757956266403198,0.006049871910363436,0.6102439761161804,0.18612749874591827
ours,2,1000.0,0.6600710744788992,0.009383891709148884,0.3541841506958008,0.2980574667453766,0.3383749723434448
ours,3,1000.0,0.6789898679426277,0.2811322510242462,0.03669928014278412,0.3971422612667084,0.285025954246521
ours,5,1000.0,0.6893070986993255,0.16036365926265717,0.28045880794525146,0.48674485087394714,0.07243262231349945
ours,7,1000.0,0.6828111427339807,0.1281672716140747,0.3623097240924835,0.06560852378606796,0.4439144730567932
ours,11,1000.0,0.6895548113033081,0.27504217624664307,0.20277078449726105,0.41603735089302063,0.1061495766043663
