method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6759223540243001,0.0,0.5173163414001465,0.48268359899520874,0.0
baseline,3,1000.0,0.606586622140323,0.49946725368499756,0.3385026454925537,0.1620301902294159,0.0
baseline,5,1000.0,0.34989554764326103,0.7606087923049927,0.05021354556083679,0.14915522933006287,0.0400225967168808
baseline,7,1000.0,0.5909824925666802,0.32039761543273926,0.0,0.6794451475143433,0.00015712073945906013
baseline,11,1000.0,0.39475277149094373,0.1639258712530136,0.0008760862401686609,0.8347666263580322,0.0004313269746489823
cagrad,2,1000.0,0.3382074906064817,0.8217063546180725,0.13213910162448883,0.022275829687714577,0.02387862280011177
cagrad,3,1000.0,0.3424135199672081,0.8282008171081543,0.020733535289764404,0.14612506330013275,0.004940493032336235
cagrad,5,1000.0,0.45975256674813175,0.19351278245449066,0.09318256378173828,0.7133046984672546,0.0
cagrad,7,1000.0,0.32361597937111203,0.88633131980896,0.0717037245631218,0.039718762040138245,0.0022463214118033648
cagrad,11,1000.0,0.31842994472781627,0.01026943139731884,0.019712872803211212,0.8561082482337952,0.1139092817902565
ours,2,1000.0,0.3366410299664147,0.04006720334291458,0.8291972279548645,0.13057787716388702,0.0001575923088239506
ours,3,1000.0,0.5006062710159462,0.21125467121601105,0.03449035435914993,0.6595035791397095,0.09475152939558029
ours,5,1000.0,0.3783135806154085,0.04746279865503311,0.839049220085144,0.022593924775719643,0.09089423716068268
ours,7,1000.0,0.57416607412373,0.0013277815887704492,0.02997647225856781,0.24254870414733887,0.7261471748352051
ours,11,1000.0,0.687149597837278,0.0,0.4662327766418457,0.5337671637535095,0.0
