method,expert,score_var,score_mean,score_std
baseline,e0,0.11034481949807055,0.3542301680659875,0.3321819072407023
baseline,e1,0.14735251678577982,0.47803759616363095,0.3838652325827123
baseline,e2,0.019182863696400612,0.23610899187624454,0.13850221549275163
baseline,e3,0.06638464154214122,0.2684619994426612,0.2576521716231812
cagrad,e0,0.06555449035993806,0.30695645487867296,0.2560361114373089
cagrad,e1,0.03982593522426357,0.45586975030601024,0.19956436361300475
cagrad,e2,0.02815551147044256,0.12376980234403163,0.167796041283585
cagrad,e3,0.14716057084596018,0.3740843050647527,0.3836151337551221
ours,e0,0.06582195935480122,0.5182281966786831,0.2565579064359569
ours,e1,0.0674282469335395,0.392594740819186,0.2596694955776275
ours,e2,0.03426629434497701,0.1441256085934583,0.1851115726932733
ours,e3,0.04325406110562473,0.24646856202743947,0.20797610705469205
