method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,1,0.6118529463005128,0.0,0.6118529463005128,0.0,0.6118529463005128,0.0
baseline,1,0.38175523522713184,0.0,0.38175523522713184,0.0,0.38175523522713184,0.0
