method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_011,0.7938574350745959,0.005048267459529077,0.653745100333,4.0732353e-05,0.017863245139,,,,
cagrad,cagrad,baseline_cagrad,coord_04_method_baseline_cagrad_c_009,0.803560426868233,0.0036569896132158664,1.2734488306242047,4.46028624326249e-05,0.00034654617512255295,0.9288277248837246,0.1,,
ours,ours,ours,local_var_topk_023,0.8024557701839246,0.002250005955426626,2.0,5.0432586e-05,0.03802613486924597,,,0.003264950101,true
