method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.801150527325024,0.008171534325086322,0.6011575861270595,0.040421506679171895
baseline,glue_mrpc,glue/mrpc,5,0.8093137254901961,0.014241018672876452,0.9983493865937932,0.0794259326027656
baseline,glue_rte,glue/rte,5,0.6375451263537906,0.020876292122456248,1.7571935230639404,0.23042332214219513
baseline,glue_sst2,glue/sst2,5,0.9240825688073395,0.0060421742533575615,0.21434205728998806,0.013506776842457366
cagrad,glue_cola,glue/cola,5,0.801150527325024,0.006849691696832885,0.6606515121289889,0.0389227344781893
cagrad,glue_mrpc,glue/mrpc,5,0.8068627450980392,0.002858309752375137,1.212221210791559,0.25925743458562334
cagrad,glue_rte,glue/rte,5,0.6606498194945848,0.022254202176783314,1.6816885225997165,0.14118486310940614
cagrad,glue_sst2,glue/sst2,5,0.9208715596330276,0.004471006580187611,0.22597552504906032,0.021473245466896627
ours,glue_cola,glue/cola,5,0.794822627037392,0.007301795882899226,0.661149248378005,0.03635930611760572
ours,glue_mrpc,glue/mrpc,5,0.8004901960784314,0.0050468775200916876,1.138616344595581,0.18537502867540295
ours,glue_rte,glue/rte,5,0.6563176895306859,0.009524119825467818,1.7446157116588286,0.1211884375373424
ours,glue_sst2,glue/sst2,5,0.9227064220183486,0.0037407124840137963,0.2214667087129783,0.003739040817646424
