method,expert,purity_mean,purity_std
baseline,e0,0.5348604917526245,0.1645666997816596
baseline,e1,0.598543894290924,0.17406474931652424
baseline,e2,0.48936703205108645,0.09590410236363217
baseline,e3,0.6628286004066467,0.12423349073857058
cagrad,e0,0.6035641849040985,0.10682990249726942
cagrad,e1,0.6077650010585784,0.17307095215987844
cagrad,e2,0.5960145950317383,0.10417513199060022
cagrad,e3,0.5658101975917816,0.13336159110732274
ours,e0,0.7582110047340394,0.2088881733831893
ours,e1,0.7360063910484314,0.10656624287635562
ours,e2,0.6566781640052796,0.16177742886868973
ours,e3,0.6067949175834656,0.08350903033556999
