method,expert,score_var,score_mean,score_std
baseline,e0,0.013231777303903968,0.26501041650772095,0.11502946276456293
baseline,e1,0.050751427402569126,0.4080697476863861,0.22528077459598972
baseline,e2,0.04804910477919737,0.3130519721657038,0.21920106016896307
baseline,e3,0.0005307775774531809,0.17778349965810775,0.023038610579919547
cagrad,e0,0.024456777947582935,0.2315999373793602,0.1563866296957094
cagrad,e1,0.027391924116587318,0.2377180341631174,0.165505057676759
cagrad,e2,0.011870475206822526,0.32364737093448637,0.10895171043550682
cagrad,e3,0.006379621641691422,0.39566304683685305,0.07987253371273145
ours,e0,0.012374817707133435,0.30831995978951454,0.11124215795791376
ours,e1,0.006492943327575315,0.24519916530698538,0.08057880197406335
ours,e2,0.008367225706448026,0.34018299281597136,0.09147254072369491
ours,e3,0.009443461692983027,0.2803731355816126,0.09717747523466036
