method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.020792725013119073
baseline,e0,e2,-0.03756863175693317
baseline,e0,e3,-0.09567538528646269
baseline,e1,e0,-0.020792725013119073
baseline,e1,e1,1.0
baseline,e1,e2,0.05106603597006761
baseline,e1,e3,0.08877394204163197
baseline,e2,e0,-0.03756863175693317
baseline,e2,e1,0.05106603597006761
baseline,e2,e2,1.0
baseline,e2,e3,0.04224035561176546
baseline,e3,e0,-0.09567538528646269
baseline,e3,e1,0.08877394204163197
baseline,e3,e2,0.04224035561176546
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.04441288558199823
cagrad,e0,e2,0.08330938982537327
cagrad,e0,e3,0.13989655080160923
cagrad,e1,e0,0.04441288558199823
cagrad,e1,e1,1.0
cagrad,e1,e2,0.06142716324358207
cagrad,e1,e3,0.09312883647120165
cagrad,e2,e0,0.08330938982537327
cagrad,e2,e1,0.06142716324358207
cagrad,e2,e2,1.0
cagrad,e2,e3,0.2204413580286695
cagrad,e3,e0,0.13989655080160923
cagrad,e3,e1,0.09312883647120165
cagrad,e3,e2,0.2204413580286695
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.061288300476259286
ours,e0,e2,0.07592856248730477
ours,e0,e3,-0.10352755416556629
ours,e1,e0,-0.061288300476259286
ours,e1,e1,1.0
ours,e1,e2,0.020615050753593912
ours,e1,e3,-0.01560100628436616
ours,e2,e0,0.07592856248730477
ours,e2,e1,0.020615050753593912
ours,e2,e2,1.0
ours,e2,e3,-0.06928647630997786
ours,e3,e0,-0.10352755416556629
ours,e3,e1,-0.01560100628436616
ours,e3,e2,-0.06928647630997786
ours,e3,e3,1.0
