method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_02_anchor,0.7092328247252025,0.002252512833689657,1.0,2e-05,0.01,,,,
cagrad,cagrad,baseline_cagrad,coord_02_train_weight_decay_003,0.712282850047925,0.007953873688807955,1.0,2e-05,0.00034654617512255295,0.4,0.1,,
ours,ours,ours,coord_02_train_weight_decay_006,0.7078446094272919,0.020842677923542607,1.0,2e-05,0.04811190452922659,,,0.001,true
