method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,1,0.6169664010783972,0.0,0.6169664010783972,0.0,0.6169664010783972,0.0
baseline,1,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
