method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,0.9258595990910921
baseline,glue/rte,glue/cola,0.7864713922145155
baseline,glue/mrpc,glue/rte,0.9258595990910921
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.7899763619662782
baseline,glue/cola,glue/rte,0.7864713922145155
baseline,glue/cola,glue/mrpc,0.7899763619662782
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,0.8955197745515011
ours,glue/rte,glue/cola,0.6634919041418647
ours,glue/mrpc,glue/rte,0.8955197745515011
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.6725193884139047
ours,glue/cola,glue/rte,0.6634919041418647
ours,glue/cola,glue/mrpc,0.6725193884139047
ours,glue/cola,glue/cola,1.0
