method,expert,purity_mean,purity_std
baseline,e0,0.41552093625068665,0.0
baseline,e1,0.4574323892593384,0.0
baseline,e2,0.41472965478897095,0.0
baseline,e3,0.4993341267108917,0.0
ours,e0,0.4998389184474945,0.0
ours,e1,0.3966010510921478,0.0
ours,e2,0.5095462799072266,0.0
ours,e3,0.489411324262619,0.0
