method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,1,0.6912751677852349,0.0,0.6288084251280049,0.0
baseline,glue_mrpc,glue/mrpc,1,0.6838235294117647,0.0,0.6801582494494962,0.0
baseline,glue_rte,glue/rte,1,0.4729241877256318,0.0,0.9681737199851445,0.0
ours,glue_cola,glue/cola,1,0.6941514860977949,0.0,0.5945638803807833,0.0
ours,glue_mrpc,glue/mrpc,1,0.6838235294117647,0.0,0.6257673382174735,0.0
ours,glue_rte,glue/rte,1,0.4729241877256318,0.0,0.8435674050876073,0.0
