method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.26219560813867926
baseline,e0,e2,0.09104227153429399
baseline,e0,e3,-0.10571319608822001
baseline,e1,e0,-0.26219560813867926
baseline,e1,e1,1.0
baseline,e1,e2,-0.500070949111208
baseline,e1,e3,-0.0984288395737804
baseline,e2,e0,0.09104227153429399
baseline,e2,e1,-0.500070949111208
baseline,e2,e2,1.0
baseline,e2,e3,-0.2894834582767075
baseline,e3,e0,-0.10571319608822001
baseline,e3,e1,-0.0984288395737804
baseline,e3,e2,-0.2894834582767075
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.2679255792437324
ours,e0,e2,0.2598941728708701
ours,e0,e3,0.05453648291708375
ours,e1,e0,-0.2679255792437324
ours,e1,e1,1.0
ours,e1,e2,0.19355296174111478
ours,e1,e3,0.3280576775976406
ours,e2,e0,0.2598941728708701
ours,e2,e1,0.19355296174111478
ours,e2,e2,1.0
ours,e2,e3,0.15330572923693417
ours,e3,e0,0.05453648291708375
ours,e3,e1,0.3280576775976406
ours,e3,e2,0.15330572923693417
ours,e3,e3,1.0
