method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.6160076283075439,0.0,0.8341024510906285,0.0,0.8819812838931403,0.0,0.4467542767524719,0.0,0.9684894021459601,0.0,0.29613573689374795,0.0,2.0582820442158125,0.0,1.0,0.0,1.321558548896401,0.0,-0.19414162994238357,0.0,0.23488305039199853,0.0
ours,0.6169664010783972,0.0,0.7438436890357568,0.0,0.8291136630722031,0.0,0.473849393427372,0.0,0.9371293062327118,0.0,0.36386093497276306,0.0,2.9434023641512357,0.0,1.0,0.0,1.2985253071895353,0.0,0.12023690751998517,0.0,0.2867799464716061,0.0
