method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,57.113959139212966,0.0,0.5785335572436452,0.0,3747.55712890625,0.0
ours,56.899590861052275,0.0,0.5950674866326153,0.0,3542.6376953125,0.0
