method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.8151624548736462,0.011044807610670301,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7549292735280023,0.18305792892022268,91144812153.92624,182289624190.75232,0.65,0.1224744871391589,0.5381805230564158,0.09152591993939714,-0.00012261535582988592,0.10147336222029599,0.0,0.0
cagrad,0.8361010830324911,0.01323487565330204,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6684314403527951,0.15763387745648652,32.136476074538436,28.130148269016914,0.7,0.18708286933869706,0.4881416308750744,0.13524759085325289,0.04914131391729544,0.08761951955535612,0.0,0.0
ours,0.8252707581227436,0.012210494242085038,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6827505962868953,0.1768795709070011,44.6939582457842,73.14005099780856,0.7,0.18708286933869706,0.5081432268507644,0.06655101952718513,-0.013193772787717578,0.14586499922580223,0.0,0.0
