method,expert,score_var,score_mean,score_std
baseline,e0,0.034511397861109995,0.3552144973538816,0.18577243568707924
baseline,e1,0.03087318019874998,0.39099000915884974,0.17570765549272455
baseline,e2,0.0077781144934581615,0.39553700415417553,0.08819361934662939
baseline,e3,0.017413465441908478,0.1922127588186413,0.1319600903376035
cagrad,e0,0.0241603433773832,0.35751186972483995,0.155435978387834
cagrad,e1,0.031723488106283414,0.3257593898102641,0.1781108871076763
cagrad,e2,0.017372584179264704,0.3715719409286976,0.13180509921571587
cagrad,e3,0.032261096160002,0.2711369699798524,0.17961374156784887
ours,e0,0.012077787336867218,0.39951281249523163,0.10989898696924925
ours,e1,0.013028853728178368,0.4190817873924971,0.11414400434616953
ours,e2,0.0050340188911944025,0.22161418315954506,0.07095082022918694
ours,e3,0.026732166572693693,0.3792345315217972,0.16349974487042385
