method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.3949416604713412,0.45541292428970337,0.0877937600016594,0.4217471182346344,0.03504611551761627
baseline,3,1000.0,0.5159143179332306,0.23913811147212982,0.3459681272506714,0.4019947946071625,0.012898992747068405
baseline,5,1000.0,0.5662502209632405,0.004102305509150028,0.6824673414230347,0.01420371513813734,0.2992265820503235
baseline,7,1000.0,0.6798353935406957,0.4837091863155365,0.2850865125656128,0.21077637374401093,0.02042791247367859
baseline,11,1000.0,0.5339610223735713,0.2691003382205963,0.27517569065093994,0.4557240605354309,0.0
cagrad,2,1000.0,0.31377547312299264,0.5257905125617981,0.013127407059073448,0.08273518830537796,0.3783468008041382
cagrad,3,1000.0,0.630749114583976,0.24169404804706573,0.253887802362442,0.4337804913520813,0.07063763588666916
cagrad,5,1000.0,0.6383753236020084,0.18813766539096832,0.44426673650741577,0.16937009990215302,0.19822557270526886
cagrad,7,1000.0,0.3543025956687514,0.00566596444696188,0.09506546705961227,0.44273123145103455,0.4565373659133911
cagrad,11,1000.0,0.5035056473976438,0.14379188418388367,0.48494458198547363,0.3557652235031128,0.015498331747949123
ours,2,1000.0,0.5358415562323284,0.3212912082672119,0.5973509550094604,0.0031303134746849537,0.07822767645120621
ours,3,1000.0,0.6030664555862922,0.19401554763317108,0.2947109043598175,0.12659114599227905,0.38468244671821594
ours,5,1000.0,0.5364302556006917,0.14981238543987274,0.32123491168022156,0.06614081561565399,0.4628118574619293
ours,7,1000.0,0.4421946529016598,0.5419057011604309,0.24478088319301605,0.17179147899150848,0.041521914303302765
ours,11,1000.0,0.42318321393284986,0.48231518268585205,0.0504792295396328,0.0856703370809555,0.38153529167175293
