method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6778570202834628,0.3571285307407379,0.26014140248298645,0.044684696942567825,0.33804547786712646
baseline,3,1000.0,0.6789337410419075,0.11048871278762817,0.5097522735595703,0.3467302918434143,0.03302864357829094
baseline,5,1000.0,0.686680861990209,0.4439863860607147,0.4375736117362976,0.0007359858136624098,0.1177041232585907
baseline,7,1000.0,0.688620039054917,0.11868573725223541,0.2031038999557495,0.20502494275569916,0.473185658454895
baseline,11,1000.0,0.6598285461465517,0.1778741180896759,0.6181185841560364,0.1642121970653534,0.03979507088661194
ours,2,1000.0,0.6831447702522079,0.16262762248516083,0.2775583267211914,0.0018058025743812323,0.5580083131790161
ours,3,1000.0,0.6857169051827104,0.30775129795074463,0.4706822633743286,0.08391757309436798,0.13764899969100952
ours,5,1000.0,0.6887763909029739,0.39863085746765137,0.2990289032459259,0.2442741096019745,0.05806587263941765
ours,7,1000.0,0.6715343460716583,0.22432996332645416,0.10207287222146988,0.15599524974822998,0.517601728439331
ours,11,1000.0,0.6875064302649763,0.10607893019914627,0.4391164481639862,0.4436773359775543,0.01112707331776619
