lambda_align,n,best_mean,best_std,final_mean,final_std,score_mean,score_std
0.0,3.0,0.6913436203137061,0.004745167708520407,0.6817471357339325,0.010937161754182221,0.6865453780238192,0.0077173477161036836
1e-05,3.0,0.6968707104763151,0.0024043656296104977,0.6853216245914933,0.008707725075666872,0.6910961675339041,0.004648854907583602
3e-05,3.0,0.6929667926472204,0.008905607167932842,0.6775130056222167,0.00743483281027726,0.6852398991347185,0.008059740606042448
0.0001,3.0,0.7045150952209548,0.012898823666301143,0.6957038484286748,0.012279868064505277,0.7001094718248148,0.012076039309066127
0.0003,3.0,0.6974741418547082,0.008804504499879249,0.6923745623345917,0.014989276631106259,0.6949243520946501,0.011890371431971051
0.001,3.0,0.7211472960112578,0.0037529023276241355,0.7088653542648534,0.011244545561580032,0.7150063251380555,0.0071649265478120686
0.003,3.0,0.7009285955933885,0.025151082336306575,0.700747677125376,0.025313166733937752,0.7008381363593822,0.02523193037894383
0.01,3.0,0.6879157312838854,0.0042011519294997135,0.6879157312838854,0.0042011519294997135,0.6879157312838854,0.0042011519294997135
0.03,3.0,0.6957181827387887,0.0015984140305787943,0.6957181827387887,0.0015984140305787943,0.6957181827387887,0.0015984140305787943
0.1,3.0,0.6923378617122283,0.012074697252769209,0.6889793631104358,0.014771014248995577,0.690658612411332,0.013294553015153487
1.0,3.0,0.6937062062648011,0.005265436665525695,0.6867852719930206,0.01067873439524181,0.6902457391289109,0.006850578821109902
