lambda_align,seed,best_val_acc,final_val_acc,score_05_05,summary_json,curve_csv
0.0,2,0.6966563650795687,0.6966563650795687,0.6966563650795687,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s2_curve.csv
0.0,3,0.6851367575192152,0.6707262315194292,0.6779314945193222,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s3_curve.csv
0.0,5,0.6922377383423345,0.6778588106027993,0.6850482744725669,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_0.0e0/ours_s5_curve.csv
1e-05,2,0.6951919805549723,0.673981296295806,0.6845866384253891,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s2_curve.csv
1e-05,3,0.7002709074325827,0.6868343340372839,0.6935526207349333,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s3_curve.csv
1e-05,5,0.69514924344139,0.69514924344139,0.69514924344139,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0em05/ours_s5_curve.csv
3e-05,2,0.6844644730019871,0.6682811104073189,0.6763727917046529,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s2_curve.csv
3e-05,3,0.6891713582193472,0.6777707206256136,0.6834710394224803,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s3_curve.csv
3e-05,5,0.7052645467203268,0.6864871858337177,0.6958758662770222,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_3.0em05/ours_s5_curve.csv
0.0001,2,0.6875906675513953,0.6786529947266705,0.6831218311390329,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s2_curve.csv
0.0001,3,0.7070830500688148,0.7070830500688148,0.7070830500688148,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s3_curve.csv
0.0001,5,0.7188715680426542,0.7013755004905393,0.7101235342665968,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0em04/ours_s5_curve.csv
0.0003,2,0.6854367345594342,0.6715581390003565,0.6784974367798954,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s2_curve.csv
0.0003,3,0.7007352073030247,0.6993150643017527,0.7000251358023888,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s3_curve.csv
0.0003,5,0.706250483701666,0.706250483701666,0.706250483701666,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_3.0em04/ours_s5_curve.csv
0.001,2,0.7158868869832881,0.6981125403908566,0.7069997136870723,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s2_curve.csv
0.001,3,0.7243878172175192,0.7243878172175192,0.7243878172175192,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s3_curve.csv
0.001,5,0.7231671838329659,0.7040957051861846,0.7136314445095753,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0em03/ours_s5_curve.csv
