method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_024,0.8632507939697789,0.002709846763358892,1.679075829359,8.1464706e-05,0.016765903978,,,,
cagrad,cagrad,baseline_cagrad,local_var_topk_014,0.86712411004339,0.0034207312187357064,1.0161765270105294,8.9700368e-05,0.009393496225261684,0.833528128234,0.286310514659,,
ours,ours,ours,local_var_topk_013,0.8692933122539563,0.006471009240551828,1.236374401409,5.7311085e-05,0.0,,,0.000132894918,true
