method,expert,score_var,score_mean,score_std
baseline,e0,0.02576899687202744,0.41719756126403806,0.1605272465098291
baseline,e1,0.042656656204587605,0.22237855297280476,0.20653487890568897
baseline,e2,0.016969812207135605,0.2731772057712078,0.13026823176483054
baseline,e3,0.03113430299195672,0.24125776961445808,0.17644915129282068
cagrad,e0,0.0066246726133998065,0.0875201387447305,0.08139209183575397
cagrad,e1,0.03006195082925377,0.4165642991662025,0.1733838251661722
cagrad,e2,0.04034481548685508,0.3626348778605461,0.20086018890475804
cagrad,e3,0.020305156629707923,0.29474304169416427,0.14249616356136724
ours,e0,0.0032669258718899612,0.25727257803082465,0.057157028193302366
ours,e1,0.002969665125391177,0.2943085327744484,0.054494633913727476
ours,e2,0.011509946707867794,0.2750900566577911,0.10728441968835827
ours,e3,0.009972069489959537,0.38229144290089606,0.09986024979920458
