method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_03_train_grad_clip_026,0.8465703971119134,0.0018050541516245189,1.7393652191189202,4.073235308694881e-05,0.004430866959425755,,,,
cagrad,cagrad,baseline_cagrad,coord_03_train_grad_clip_006,0.8411552346570397,0.01083032490974728,1.7615721587592104,4.46028624326249e-05,0.025364782818545862,0.4,0.1,,
ours,ours,ours,coord_04_method_ours_lambda_align_008,0.8411552346570397,0.0,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845,,,0.00013289491787351013,true
