method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.ours.eps,method.ours.lambda_align
baseline,coord_01_anchor,coord:train.lr,1,0.5520833333333334,0.0,0.5520833333333334,0.5520833333333334,1.0,2e-05,0.01,,
baseline,coord_03_anchor,coord:train.grad_clip,1,0.4583333333333333,0.0,0.4583333333333333,0.4583333333333333,1.0,2e-05,0.01,,
baseline,coord_02_anchor,coord:train.weight_decay,1,0.40625,0.0,0.40625,0.40625,1.0,2e-05,0.01,,
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.53125,0.0,0.53125,0.53125,,2e-05,,1e-08,0.001
ours,coord_03_anchor,coord:method.ours.eps,1,0.4895833333333333,0.0,0.4895833333333333,0.4895833333333333,,2e-05,,1e-08,0.001
ours,coord_01_anchor,coord:train.lr,1,0.46875,0.0,0.46875,0.46875,,2e-05,,1e-08,0.001
