method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay
baseline,local_var_topk_017,local_var_topk,2,0.7766776924911893,0.005264535929790426,0.7766776924911893,0.7766776924911893,1.273349250657,3.0738695e-05,0.034467098844
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7761208176440713,0.011577527335407733,0.7761208176440713,0.7761208176440713,1.0,3.073869450200515e-05,0.02446709884391641
baseline,local_var_topk_018,local_var_topk,2,0.7738916158323481,0.006071826877839359,0.7738916158323481,0.7738916158323481,0.673349250657,6.1477389e-05,0.014467098844
baseline,local_var_topk_026,local_var_topk,2,0.7738395013846585,0.010423882644084781,0.7738395013846585,0.7738395013846585,1.273349250657,6.1477389e-05,0.034467098844
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7716086807298055,0.0096494709344081,0.7716086807298055,0.7716086807298055,0.9733492506568604,3.073869450200515e-05,0.02446709884391641
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7715889407806165,0.002204148420053287,0.7715889407806165,0.7715889407806165,1.0,3.073869450200515e-05,0.007589584457877514
baseline,local_var_topk_025,local_var_topk,2,0.7699665149325197,0.010125347664971418,0.7699665149325197,0.7699665149325197,0.973349250657,6.1477389e-05,0.034467098844
baseline,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7696987698152377,0.012199046984079254,0.7696987698152377,0.7696987698152377,0.9537451003327635,3.073869450200515e-05,0.02446709884391641
baseline,coord_01_train_lr_008,coord:train.lr,2,0.769363409401905,0.009715910417422147,0.769363409401905,0.769363409401905,1.0,3.073869450200515e-05,0.0
baseline,local_var_topk_009,local_var_topk,2,0.7682190089676773,0.01469700267289642,0.7682190089676773,0.7682190089676773,0.673349250657,3.0738695e-05,0.014467098844
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7671158356075578,0.0006457870116758357,0.7671158356075578,0.7671158356075578,1.0,3.073869450200515e-05,0.01546097607936744
baseline,coord_02_anchor,coord:train.weight_decay,2,0.7671112876076017,0.007096180389990159,0.7671112876076017,0.7671112876076017,1.0,3.073869450200515e-05,0.0
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.7670670637615071,0.009827727183327306,0.7670670637615071,0.7670670637615071,0.8623574172053887,3.073869450200515e-05,0.02446709884391641
baseline,local_var_topk_019,local_var_topk,2,0.7665662010112138,0.0017846764017665495,0.7665662010112138,0.7665662010112138,0.973349250657,6.1477389e-05,0.014467098844
baseline,local_var_topk_024,local_var_topk,2,0.7656973051029952,0.015739091193950394,0.7656973051029952,0.7656973051029952,0.673349250657,6.1477389e-05,0.034467098844
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.765458220952618,0.007735908412056458,0.765458220952618,0.765458220952618,1.0,3.073869450200515e-05,0.007863245139373703
baseline,coord_03_anchor,coord:train.grad_clip,2,0.7639418519246707,0.00741225811746149,0.7639418519246707,0.7639418519246707,1.0,3.073869450200515e-05,0.02446709884391641
baseline,local_var_topk_023,local_var_topk,2,0.7634409253826359,0.021724886760566386,0.7634409253826359,0.7634409253826359,1.273349250657,6.1477389e-05,0.024467098844
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7632415251143859,9.034395205043122e-05,0.7632415251143859,0.7632415251143859,1.0,3.073869450200515e-05,0.03175375624865879
baseline,local_var_topk_013,local_var_topk,2,0.7623071463852416,0.005108644401921603,0.7623071463852416,0.7623071463852416,0.973349250657,3.0738695e-05,0.024467098844
baseline,local_var_topk_021,local_var_topk,2,0.7621755115381548,0.010666050590563747,0.7621755115381548,0.7621755115381548,0.673349250657,6.1477389e-05,0.024467098844
baseline,local_var_topk_014,local_var_topk,2,0.7621449453122485,0.008107870701513642,0.7621449453122485,0.7621449453122485,1.273349250657,3.0738695e-05,0.024467098844
