method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6871044750980757,0.44058680534362793,0.03545696288347244,0.25908759236335754,0.2648685872554779
baseline,3,1000.0,0.686851972507106,0.039327140897512436,0.5064218044281006,0.2277354598045349,0.22651530802249908
baseline,5,1000.0,0.6714167833604194,0.1486995965242386,0.5256180763244629,0.07171040773391724,0.25397199392318726
baseline,7,1000.0,0.688550326904213,0.24326087534427643,0.11694556474685669,0.19730541110038757,0.4424879848957062
baseline,11,1000.0,0.6803615820007743,0.0812465026974678,0.34541699290275574,0.07999353110790253,0.49334314465522766
ours,2,1000.0,0.6577850476045299,0.34875693917274475,0.0745495855808258,0.0,0.5766932964324951
ours,3,1000.0,0.6716644289316954,0.04070572555065155,0.45430541038513184,0.36428794264793396,0.14070077240467072
ours,5,1000.0,0.690306372595606,0.25166791677474976,0.3283787965774536,0.3160800337791443,0.10387331992387772
ours,7,1000.0,0.6874032907739833,0.29402101039886475,0.2571641504764557,0.37701666355133057,0.07179772108793259
ours,11,1000.0,0.6853145730716211,0.06284235417842865,0.37218692898750305,0.42389196157455444,0.1410786509513855
