method,expert,purity_mean,purity_std
baseline,e0,0.6235893309116364,0.15302988325825306
baseline,e1,0.474197518825531,0.26862529013566444
baseline,e2,0.6395011723041535,0.25744557935566453
baseline,e3,0.6520282864570618,0.07437178628037008
ours,e0,0.6414707124233245,0.18839886038318596
ours,e1,0.5606879472732544,0.09029773397610102
ours,e2,0.4427428781986237,0.2420428125011836
ours,e3,0.5858205556869507,0.04598587361146008
