method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,5,0.7948852432855648,0.013989397482361093,0.7916088379479914,0.013045413924555422,0.7932470406167781,0.01337536032365981
ours,5,0.7872653468627051,0.014636821875812132,0.7852122353395441,0.014129650586317348,0.7862387911011245,0.014329460855430194
