method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8134228187919463,0.009541595631543411,0.4618229140037002,0.044878023112238305
baseline,glue_mrpc,glue/mrpc,5,0.8617647058823529,0.016952565162539773,0.4085215048896441,0.09126989626709002
baseline,glue_rte,glue/rte,5,0.699638989169675,0.03517957462838944,0.6400890082998999,0.03637557408598187
ours,glue_cola,glue/cola,5,0.8097794822627037,0.012713775228572035,0.48013911370529244,0.04093883567827667
ours,glue_mrpc,glue/mrpc,5,0.8671568627450981,0.017009168208723002,0.4185528432516673,0.054980788093461436
ours,glue_rte,glue/rte,5,0.6787003610108303,0.040200464713574156,0.6931143015516655,0.07526676339765426
