method,expert,purity_mean,purity_std
baseline,e0,0.48599714040756226,0.0
baseline,e1,0.3850488066673279,0.0
baseline,e2,0.4058208763599396,0.0
baseline,e3,0.4363451600074768,0.0
ours,e0,0.4256136119365692,0.0
ours,e1,0.40104246139526367,0.0
ours,e2,0.4466055929660797,0.0
ours,e3,0.3951762020587921,0.0
