method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,1,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,1,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
