method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,1,1.0,1.2489032141036458,0.3567163050174713,0.3796875476837158,0.1187758594751358,0.14482077956199646
ours,1,1.0,1.3377258881098695,0.25172048807144165,0.2678326368331909,0.3147284686565399,0.16571849584579468
